Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd Misc/AcceptanceStep Misc/Alpha Misc/FinalStepNorm Misc/gradient_norm Misc/xHx Misc/H_inv_g Misc/cost_gradient_norm Misc/A Misc/B Misc/q Misc/r Misc/s Misc/Lambda_star Misc/Nu_star Misc/OptimCase TotalEnvSteps Time FPS
1 -0.4643721 0.4752912 -1.3575263 0.59344167 59.785713 81.88161 0.0 380.0 1000.0 1000.0 1000.0 0.17393357 -0.0745808 0.3047099 0.24929443 -1.935364 2.348219 0.027034367 -0.3729608 0.35102785 3.1664968e-08 0.006202356 0.0 -0.004744247 11.416441 -3.9263496 0.74363124 0.004909006 1.0 1 1.0 0.0003 0.508999994180536 1.0 2.145265 0.32423785 0.115507476 0.0043457737 0.14918561 0.08356909 0.004345731 -0.6391767 0.0043457737 8.873132e-06 0.0018356927 0.0 3.300759 0.0 30000 14 2104
2 -0.13695054 1.0107713 -1.5036772 2.9429882 63.32143 64.09873 0.0 288.0 1000.0 1000.0 1000.0 0.1449497 -0.00502255 0.33744803 0.21479432 -2.004553 2.2212534 1.5559425 -3.4576192 14.627696 5.5879354e-09 0.00492341 0.0 -0.0028111322 9.803984 -4.9241695 0.7416687 0.0067461175 1.0 1 1.0 0.0003 0.5080020093473719 1.0 1.6399858 0.3011094 0.0841823 0.0074361684 0.21770379 0.08521429 0.007139109 -0.6839517 0.0074361684 0.00078721205 0.0020861262 0.0 3.0963044 0.0 60000 29 1963
3 -0.91676897 1.0086505 -2.7973049 1.5173664 39.642857 40.815975 0.0 159.0 1000.0 1000.0 1000.0 0.10862388 -0.17446926 0.51099074 0.22119734 -2.0140312 2.194957 1.5121698 -5.5555673 22.164593 -1.8626451e-08 0.0038256657 0.0 -0.002298938 8.283862 -6.031804 0.73970217 0.003961458 1.0 1 1.0 0.0003 0.5070039867303798 1.0 1.1099423 0.32742018 0.18503328 0.016234126 0.2922826 0.07996727 0.016096357 -0.079347536 0.016234126 0.0005452842 0.0021582139 0.0 3.044155 0.0 90000 42 2298
4 -1.1935807 0.9660041 -3.091387 1.026091 38.42857 40.032513 0.0 127.0 1000.0 1000.0 1000.0 0.049412295 -0.30436024 0.686227 0.17676573 -2.3541706 2.1604629 2.783008 -3.905121 23.567076 2.2351742e-08 0.0031596415 0.0 -0.001721484 8.143204 -5.962945 0.7377318 0.006831168 1.0 1 1.0 0.0003 0.5060059945689283 1.0 0.862422 0.31954774 0.31284523 0.026889961 0.35486817 0.08351521 0.026306638 -0.031468876 0.026889961 0.0014295919 0.0035036027 0.0 2.3892245 0.0 120000 57 2135
5 -1.5434774 1.0738801 -3.0860054 1.6746008 34.035713 71.154 0.0 366.0 1000.0 1000.0 1000.0 0.006455762 -0.37490907 0.55428964 0.16620672 -2.220752 2.4948633 1.8190472 -3.7400184 21.264042 -3.7252903e-09 0.00374116 0.0 -0.0018715622 6.484786 -5.014963 0.7357575 0.0046383054 1.0 1 1.0 0.0003 0.5050080103088117 1.0 0.73941666 0.32113558 0.584386 0.036580652 0.3603873 0.108573206 0.034127325 -0.007358825 0.036580652 0.0027057738 0.0029841964 0.0 2.5888124 0.0 150000 71 2022
6 -1.307191 1.1396401 -3.0968626 1.6720314 37.642857 91.85712 0.0 441.0 1000.0 1000.0 1000.0 0.005353825 -0.42971396 0.481295 0.2185663 -2.0788982 2.2230015 1.4006022 -4.7776814 25.12887 -9.313226e-09 0.0052704094 0.0 -0.002741585 8.89238 -7.005086 0.73377925 0.012980708 1.0 1 1.0 0.0003 0.504010011618452 1.0 1.0212545 0.34609717 0.17240433 0.019176167 0.3075595 0.051772308 0.018085226 -0.02205431 0.019176167 0.002036294 0.0038008427 0.0 2.2938998 0.0 180000 85 2252
7 -1.574786 1.2422712 -3.661997 1.7179388 29.821428 48.92053 0.0 194.0 1000.0 1000.0 1000.0 -0.018000536 -0.4909184 0.47684026 0.27154765 -2.0151584 2.300913 1.9424334 -3.5077748 24.749153 0.0 0.006683468 0.0 -0.003927929 6.050777 -4.8777556 0.7317974 0.003406939 1.0 1 1.0 0.0003 0.5030120063706592 1.0 1.0960011 0.23715487 0.24169464 0.01664975 0.26214722 0.065450296 0.015254812 0.012203184 0.01664975 0.0020393617 0.0029814956 1.1180645 1.1240314 1.0 210000 100 2023
8 -0.83577985 1.557002 -3.6217222 2.6761975 48.892857 51.022644 0.0 171.0 1000.0 1000.0 1000.0 -0.035639226 -0.6381528 0.802726 0.23679873 -2.146962 2.162845 3.1856225 -4.9642534 23.021603 -3.7252903e-09 0.0047131544 0.0 -0.0023457478 8.019431 -6.14526 0.729811 0.004268129 1.0 1 1.0 0.0003 0.5020140024227473 1.0 0.9783347 0.3439544 0.23515083 0.0208956 0.32117566 0.08666588 0.017432608 -0.16425715 0.0208956 0.0032755309 0.0030982168 0.0 2.5407293 0.0 240000 113 2259
9 -1.0932577 1.1335489 -3.3584356 1.8373716 39.642857 50.307777 0.0 215.0 1000.0 1000.0 1000.0 -0.043633003 -0.70712084 0.8630196 0.27555522 -2.2387848 2.1325908 2.8971078 -3.447607 27.399813 3.7252903e-09 0.004500752 0.0 -0.002590064 6.135249 -4.9782133 0.7278213 0.0042826068 1.0 1 1.0 0.0003 0.5010160076164407 1.0 0.8561403 0.34162563 0.27597678 0.027286004 0.34884354 0.073595725 0.0267304 -0.040975437 0.027286004 0.0013977557 0.0035163874 0.0 2.3848772 0.0 270000 128 2017
10 -1.310532 1.222728 -3.8535535 2.3889391 17.464285 28.182417 0.0 94.0 1000.0 1000.0 1000.0 -0.058754615 -0.80089676 0.7391845 0.2561372 -2.2369807 2.3442447 2.9874084 -7.4174843 25.506536 -9.313226e-10 0.0043508434 0.0 -0.0025229675 3.589454 -2.9988897 0.7258273 0.004783458 1.0 1 1.0 0.0003 0.5000179999743863 1.0 0.88722694 0.2874802 0.19047067 0.025407411 0.32402134 0.09747906 0.022496153 0.0052166143 0.025407411 0.0033440893 0.0038412716 1.1271071 0.0 2.0 300000 142 2136
11 0.01830417 1.0423521 -1.563948 2.497788 33.42857 44.252865 0.0 159.0 1000.0 1000.0 1000.0 -0.029587962 -0.6976246 0.9188838 0.17843966 -2.0686305 2.0891845 3.7666907 -5.510624 28.28181 -1.1175871e-08 0.004227795 0.0 -0.0023268643 5.6382895 -4.3889437 0.7238292 0.0077496422 1.0 1 1.0 0.0003 0.4990199874853069 1.0 1.0267144 0.31415665 0.19088593 0.018972758 0.31823683 0.15443002 0.018719178 0.003272798 0.018972758 -0.0010377693 0.004247022 2.391574 4.990619 1.0 330000 158 1937
12 0.07014923 1.0833101 -1.5924239 2.9306881 18.678572 27.196445 0.0 89.0 1000.0 1000.0 1000.0 -0.01771671 -0.77764255 0.8789259 0.12120091 -2.1601837 2.4966428 3.3002374 -4.0769515 28.157036 -4.656613e-09 0.0056095365 0.0 -0.003406071 3.611703 -2.8152933 0.72182757 0.006800769 1.0 1 1.0 0.0003 0.49802200780647804 1.0 0.9826301 0.277489 0.4682991 0.020713318 0.282394 0.19727914 0.020211937 0.011341572 0.020713318 0.001521178 0.004615209 1.0176767 0.0 2.0 360000 172 2231
13 1.1821415 1.5035465 -1.4892552 5.2923646 69.71429 69.87482 0.0 236.0 1000.0 1000.0 1000.0 -0.027544877 -0.63466215 0.7761067 0.117967814 -2.264122 2.134667 6.1729326 -3.9398518 22.317238 4.656613e-10 0.0073749823 0.0 -0.0044824267 13.759834 -11.094907 0.71982163 0.0040759537 1.0 1 1.0 0.0003 0.4970240094664514 1.0 1.3515632 0.33177686 0.10315387 0.010948557 0.23825166 0.082270734 0.010891786 -0.49847665 0.010948557 0.00046789192 0.0038562343 0.0 2.2773654 0.0 390000 187 2004
14 1.3015965 1.7333205 -1.4029394 6.365803 61.607143 95.08392 0.0 449.0 1000.0 1000.0 1000.0 0.02762377 -0.57597846 0.97876996 0.12896056 -2.07705 2.1845372 4.2442603 -5.384472 23.453661 5.5879354e-09 0.011617258 0.0 -0.007320647 12.32326 -10.340053 0.7178115 0.004883134 1.0 1 1.0 0.0003 0.4960260005845061 1.0 1.2209473 0.3013713 0.17232646 0.013416395 0.2553921 0.18344863 0.012958757 -0.25141045 0.013416395 0.0015031887 0.0049374774 0.0 2.012621 0.0 420000 200 2311
