Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd LagrangeMultiplier TotalEnvSteps Time FPS
1 -0.4643721 0.4752912 -1.3575263 0.59344167 59.785713 81.88161 0.0 380.0 1000.0 1000.0 1000.0 0.17393357 -0.0745808 0.3047099 -2.4414062e-08 -3.5809927 3.919684 0.027034367 -0.3729608 0.35102785 2.8871e-08 0.006202356 -0.007302274 -0.004744247 11.416441 -3.9263496 0.74363124 0.0027558831 80.0 1 0.9996619 0.0003 0.508999994180536 0.035999998450279236 30000 12 2435
2 0.8307193 1.1638669 -1.5716367 3.9464583 98.25 98.79005 0.0 390.0 1000.0 1000.0 1000.0 0.14409079 -0.0210454 0.3128344 -2.0345052e-08 -2.550852 26.027533 1.7171799 -1.3992722 14.713564 1.6763806e-08 0.0060842168 -0.010676585 -0.0021731816 21.576454 -12.021373 0.7416687 0.0046032644 80.0 1 1.000332 0.00029939999999999996 0.5080020093473719 0.06958508491516113 60000 24 2542
3 2.2535198 1.312357 0.1310472 5.3711176 86.21429 89.21377 1.0 323.0 1000.0 1000.0 1000.0 0.13307379 -0.12699719 0.4616261 -5.086263e-09 -2.2331886 16.396566 3.2111363 -9.7667 22.727968 2.7939677e-09 0.011616118 -0.009766611 -0.0048240526 16.899414 -11.668292 0.73970217 0.0041076876 80.0 1 0.9986581 0.0002988 0.5070039867303798 0.10377693921327591 90000 37 2313
4 3.010999 1.8008074 0.124375634 8.211883 110.85714 90.77945 0.0 344.0 1000.0 1000.0 1000.0 0.14267214 -0.21723424 0.7304621 8.138021e-09 -3.226242 20.529179 4.259862 -5.7723894 21.701235 -7.450581e-09 0.014389245 -0.009156967 -0.0066124965 20.793896 -14.288898 0.7377318 0.0035113357 80.0 1 0.99893624 0.0002982 0.5060059945689283 0.1382964700460434 120000 50 2258
5 3.587805 2.2099466 0.4139264 9.00818 83.96429 74.0287 0.0 308.0 1000.0 1000.0 1000.0 0.17497468 -0.22514531 1.0726522 3.0517577e-09 -3.3316789 15.213871 5.0965066 -6.8317323 23.719273 0.0 0.0151791265 -0.0091630975 -0.0070124064 16.724064 -11.988339 0.7357575 0.0037231934 80.0 1 0.9992496 0.00029759999999999997 0.5050080103088117 0.17270930111408234 150000 63 2296
6 6.000298 2.5790913 2.3423407 13.511692 125.21429 73.09649 3.0 314.0 1000.0 1000.0 1000.0 0.2507757 -0.24680445 1.5020928 -1.4750163e-08 -3.2084532 16.658289 5.812595 -5.8530297 26.637857 1.6763806e-08 0.027588515 -0.008423749 -0.016401922 22.362463 -15.204021 0.73377925 0.0032193253 80.0 1 0.99998236 0.00029699999999999996 0.504010011618452 0.20750010013580322 180000 76 2331
7 6.362901 2.4205232 1.0168822 10.8309765 99.75 78.894424 0.0 367.0 1000.0 1000.0 1000.0 0.29915756 -0.29578248 1.7306743 0.0 -4.3123803 12.140097 6.5946016 -5.295962 33.155262 5.5879354e-09 0.029678589 -0.0082844915 -0.017004918 20.152618 -14.278543 0.7317974 0.0032031843 80.0 1 0.9998246 0.0002964 0.5030120063706592 0.24238979816436768 210000 89 2307
8 8.249174 3.0183954 0.44994074 13.458139 103.17857 63.89224 2.0 279.0 1000.0 1000.0 1000.0 0.3721775 -0.45139575 1.7408973 2.6448568e-08 -4.812838 13.523124 7.3778524 -4.066357 30.64336 -2.142042e-08 0.038995825 -0.009671006 -0.022159398 19.665012 -13.7984705 0.729811 0.0039847526 80.0 1 0.999061 0.0002958 0.5020140024227473 0.2774236798286438 240000 102 2336
9 9.493625 3.150014 3.678339 15.320786 117.42857 78.6318 0.0 316.0 1000.0 1000.0 1000.0 0.47298124 -0.20353079 2.3739681 -3.6621095e-08 -4.319691 12.374727 6.995072 -4.935581 33.796547 2.4214387e-08 0.040305182 -0.008873607 -0.024535947 19.646566 -14.294559 0.7278213 0.0039000893 80.0 1 0.9991326 0.00029519999999999997 0.5010160076164407 0.31279799342155457 270000 115 2315
10 10.7235365 2.981622 1.9694339 15.868816 111.46429 52.250416 19.0 217.0 1000.0 1000.0 1000.0 0.5756371 -0.36576903 2.4706724 -6.1035155e-09 -6.0986757 13.642475 7.853237 -6.640319 30.834757 2.3283064e-09 0.046411924 -0.008876791 -0.026970554 18.414242 -12.715179 0.7258273 0.0038015503 80.0 1 1.0001277 0.00029459999999999995 0.5000179999743863 0.3483404815196991 300000 128 2294
11 12.591807 4.1357417 5.9767513 22.38974 146.82143 78.17199 18.0 309.0 1000.0 1000.0 1000.0 0.69566953 -0.26770037 2.9256556 -1.2207031e-08 -5.898181 12.81281 8.599213 -4.3814316 33.791386 1.21071935e-08 0.06140615 -0.008635651 -0.038328018 23.62964 -17.007349 0.7238292 0.0036120065 80.0 1 0.9993334 0.000294 0.4990199874853069 0.38437896966934204 330000 141 2296
12 12.88054 3.5164797 6.165888 21.70192 134.71428 72.08718 8.0 292.0 1000.0 1000.0 1000.0 0.7494568 -0.19006178 2.743714 -1.2207031e-08 -5.805711 11.678559 9.611192 -5.7080193 35.81818 9.313226e-09 0.05730521 -0.007616239 -0.03361136 20.23568 -14.165889 0.72182757 0.003577367 80.0 1 0.9987217 0.0002934 0.49802200780647804 0.42073768377304077 360000 154 2390
13 13.60318 3.6646907 5.9378114 20.25711 106.78571 76.04245 2.0 298.0 1000.0 1000.0 1000.0 0.79549074 -0.1419888 2.7938707 -4.0690105e-09 -6.1519966 12.499531 9.87794 -5.9270506 36.25254 -1.8626451e-09 0.060009424 -0.008576607 -0.03664693 17.89771 -12.610599 0.71982163 0.0040721265 80.0 1 0.9995268 0.00029279999999999996 0.4970240094664514 0.4568491578102112 390000 167 2347
14 13.877472 5.1385202 5.254656 27.01788 118.0 67.351425 22.0 298.0 1000.0 1000.0 1000.0 0.93255484 -0.095717065 3.5668328 -2.0345052e-09 -6.052954 11.726682 9.712157 -3.8364873 32.045475 1.8626451e-09 0.060745876 -0.008449709 -0.035712086 16.671951 -11.990032 0.7178115 0.0035950646 80.0 1 1.0001907 0.00029219999999999995 0.4960260005845061 0.4930015206336975 420000 180 2306
15 15.52201 5.3183146 5.5290394 33.125015 124.21429 63.85886 6.0 264.0 1000.0 1000.0 1000.0 1.073195 -0.11250179 3.2739859 -1.2207031e-08 -6.8616285 12.143299 10.553575 -4.6620717 32.23764 3.7252903e-09 0.06446632 -0.008545116 -0.037962466 19.686127 -14.350478 0.7157975 0.0038396984 80.0 1 1.0000273 0.0002916 0.4950279892637624 0.5293056964874268 450000 193 2347
16 14.592514 5.5134325 0.6630003 26.820257 139.53572 58.94094 28.0 232.0 1000.0 1000.0 1000.0 1.2555711 -0.10460601 4.118255 -4.0690105e-09 -6.153615 9.426414 11.166248 -2.6041105 36.715336 1.1175871e-08 0.06630631 -0.008312279 -0.039526924 17.250294 -12.419051 0.7137796 0.0038914569 80.0 1 0.99993145 0.00029099999999999997 0.49403001303756583 0.565990686416626 480000 206 2333
